"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2, C4, C5","4","10uF","Capacitor_SMD:C_0805_2012Metric",""
"2","C3, C6","2","0.1uF","Capacitor_SMD:C_0805_2012Metric",""
"3","D1","1","1N4001","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"4","D2","1","LED","LED_THT:LED_D3.0mm_FlatTop",""
"5","H1, H2, H3, H4","4","MountingHole","MountingHole:MountingHole_2.5mm_Pad_TopBottom",""
"6","IC1","1","TXS0108EQPWRQ1","TXS0108EQPWRQ1:SOP65P640X120-20N",""
"7","J1","1","DC-005-5A-2.0","Connectors:XKB_DC-005-5A-2.0",""
"8","J2","1","Conn_01x02_Socket","Connector_Molex:Molex_Mega-Fit_76825-0002_2x01_P5.70mm_Horizontal",""
"9","J3","1","Conn_01x13_Pin","Connector_PinHeader_2.54mm:PinHeader_1x13_P2.54mm_Vertical",""
"10","K1","1","SRD-05VDC-SL-C","SRD-05VDC-SL-C:RELAY_SRD-05VDC-SL-C",""
"11","LS1","1","CPE-222H","Buzzer_Beeper:MagneticBuzzer_StarMicronics_HMB-06_HMB-12",""
"12","Q1, Q2, Q3","3","IRLML6246","Package_TO_SOT_SMD:SOT-23",""
"13","R1, R2, R5, R6, R20","5","DNP","Resistor_SMD:R_0805_2012Metric",""
"14","R3, R7, R11, R12, R14, R17, R21","7","10k","Resistor_SMD:R_0805_2012Metric",""
"15","R4","1","20k","Resistor_SMD:R_0805_2012Metric",""
"16","R8","1","2k","Resistor_SMD:R_0805_2012Metric",""
"17","R9, R10, R13, R16, R19","5","100R","Resistor_SMD:R_0805_2012Metric",""
"18","R15, R18","2","220R","Resistor_SMD:R_0805_2012Metric",""
"19","S1","1","DTS-62N-V","DTS-62N-V:DTS62NV",""
"20","TP1","1","12V_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"21","TP2","1","MQ_135_A_3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"22","TP3","1","VREF_A_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"23","TP4","1","5V_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"24","TP5","1","3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"25","TP6","1","LS_EN_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"26","TP7","1","MQ_135_SCL_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"27","TP8","1","MQ_135_CS_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"28","TP9","1","VREF_B_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"29","TP10","1","Solenoid_In_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"30","TP11","1","MQ_135_SDA_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"31","TP12","1","MQ_135_5V_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"32","TP13","1","MQ_135_D_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"33","TP14","1","Solenoid_Out_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"34","TP15","1","LED_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"35","TP16","1","Buzzer_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"36","TP17","1","Solenoid_Control_3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"37","TP18","1","Indicator_Buzzer_3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"38","TP19","1","Indicator_LED_3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"39","TP20","1","DHT_11_3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"40","TP21","1","MQ_135_SDA_3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"41","TP22","1","MQ_135_SCL_3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"42","TP23","1","MQ_135_CS_3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"43","TP24","1","MQ_135_D_3V3_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"44","TP25","1","GND_TP","TestPoint:TestPoint_Pad_2.0x2.0mm",""
"45","TP26","1","DHT_11_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"46","TP27","1","Reset_TP","TestPoint:TestPoint_Pad_1.0x1.0mm",""
"47","U1","1","LMS1585ACT-3.3_NOPB","LMS1585ACT-3.3_NOPB:TO254P470X1028X1955-3P",""
"48","U2","1","LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical",""
"49","U3","1","XD549","Package_DIP:DIP-8_W7.62mm",""
"50","U4","1","MQ-135","Sensors:MQ-135",""
"51","U5","1","DHT-11","Sensors:DHT-11",""
