Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,107.8,-75.9135,180.0,top
C2,10uF,C_0805_2012Metric,107.8,-71.2635,180.0,top
C3,0.1uF,C_0805_2012Metric,99.78,-98.8335,0.0,top
C4,10uF,C_0805_2012Metric,114.78,-75.9275,0.0,top
C5,10uF,C_0805_2012Metric,114.78,-71.2735,0.0,top
C6,0.1uF,C_0805_2012Metric,120.882,-91.9295,0.0,top
D1,1N4001,D_DO-41_SOD81_P10.16mm_Horizontal,173.648,-112.2495,0.0,top
D2,LED,LED_D3.0mm_FlatTop,142.152,-122.6635,0.0,bottom
IC1,TXS0108EQPWRQ1,SOP65P640X120-20N,148.925,-105.4515,-90.0,top
J1,DC-005-5A-2.0,XKB_DC-005-5A-2.0,95.2525,-83.05,0.0,top
K1,SRD-05VDC-SL-C,RELAY_SRD-05VDC-SL-C,173.394,-97.83,90.0,top
LS1,CPE-222H,MagneticBuzzer_StarMicronics_HMB-06_HMB-12,118.784,-122.6635,90.0,bottom
Q1,IRLML6246,SOT-23,178.5525,-84.5635,0.0,top
Q2,IRLML6246,SOT-23,150.1175,-122.6535,180.0,top
Q3,IRLML6246,SOT-23,129.706,-111.82,-90.0,top
R3,10k,R_0805_2012Metric,104.814,-93.557,90.0,top
R4,20k,R_0805_2012Metric,99.7575,-92.6435,0.0,top
R7,10k,R_0805_2012Metric,142.2155,-102.5035,180.0,top
R8,2k,R_0805_2012Metric,104.814,-97.922,-90.0,top
R9,100R,R_0805_2012Metric,173.4975,-79.4835,0.0,top
R10,100R,R_0805_2012Metric,121.065,-97.9485,90.0,top
R11,10k,R_0805_2012Metric,173.4975,-85.0715,180.0,top
R12,10k,R_0805_2012Metric,120.9575,-85.8235,0.0,top
R13,100R,R_0805_2012Metric,156.2255,-115.2975,0.0,top
R14,10k,R_0805_2012Metric,157.14,-122.6335,90.0,top
R15,220R,R_0805_2012Metric,139.866,-116.1865,0.0,top
R16,100R,R_0805_2012Metric,136.53,-109.721,-90.0,top
R17,10k,R_0805_2012Metric,122.086,-109.7095,-90.0,top
R18,220R,R_0805_2012Metric,113.704,-109.7095,-90.0,top
R19,100R,R_0805_2012Metric,98.25,-67.25,-90.0,top
R21,10k,R_0805_2012Metric,131.036,-73.4785,90.0,top
S1,DTS-62N-V,DTS62NV,91.2,-70.46,-90.0,top
U1,LMS1585ACT-3.3_NOPB,TO254P470X1028X1955-3P,111.17,-65.9035,180.0,top
U2,LM7805_TO220,TO-220-3_Vertical,111.25,-82.6185,180.0,top
U3,XD549,DIP-8_W7.62mm,112.942,-95.7395,0.0,top
